Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Device,Keyword,Calculated_CR,CTR,CPC,CPA,CAC,ROI,ROAS,LTV,Conversion_Rate,Lead_Conversion_Rate,Cost_Per_Lead,Day_of_Week,Day_of_Month
Data Analytics Course,171.0,4154.0,184.23,30.0,7.0,0.04093567251461988,1803.0,2024-08-11,Tablet,data analytics online,0.04093567251461988,4.12,1.08,26.32,26.32,878.67,9.79,257.57,4.09,23.33,6.14,Sunday,11
Data Analytics Course,122.0,5187.0,211.24,27.0,6.0,0.04918032786885246,1322.0,2024-11-20,Desktop,online data analytics,0.04918032786885246,2.35,1.73,35.21,35.21,525.83,6.26,220.33,4.92,22.22,7.82,Wednesday,20
Data Analytics Course,188.0,5798.0,230.17,28.0,5.0,0.026595744680851064,1452.0,2024-11-30,Tablet,data analytics course,0.026595744680851064,3.24,1.22,46.03,46.03,530.84,6.31,290.4,2.66,17.86,8.22,Saturday,30
Data Analytics Course,87.0,3718.0,0.0,12.0,3.0,0.034482758620689655,1652.0,2024-11-20,Tablet,learn data analytics,0.034482758620689655,2.34,0.0,0.0,0.0,0.0,0.0,550.67,3.45,25.0,0.0,Wednesday,20
Data Analytics Course,88.0,3349.0,181.92,22.0,8.0,0.09090909090909091,1456.0,2024-11-20,Tablet,learn data analytics,0.09090909090909091,2.63,2.07,22.74,22.74,700.35,8.0,182.0,9.09,36.36,8.27,Wednesday,20
Data Analytics Course,119.0,5323.0,205.92,17.0,10.0,0.08403361344537816,1656.0,2024-02-11,Desktop,online data analytics,0.08403361344537816,2.24,1.73,20.59,20.59,704.2,8.04,165.6,8.4,58.82,12.11,Sunday,11
Data Analytics Course,0.0,5286.0,234.89,22.0,0.0,0.0,1688.0,2024-11-21,Desktop,data analytics training,10.0,0.0,0.0,0.0,0.0,618.63,7.19,0.0,,0.0,10.68,Thursday,21
Data Analytics Course,128.0,5469.0,188.49,16.0,3.0,0.0234375,1783.0,2024-11-23,Mobile,learn data analytics,0.0234375,2.34,1.47,62.83,62.83,845.94,9.46,594.33,2.34,18.75,11.78,Saturday,23
Data Analytics Course,86.0,3351.0,237.75,21.0,9.0,0.10465116279069768,1975.0,2024-11-13,Mobile,analytics for data,0.10465116279069768,2.57,2.76,26.42,26.42,730.7,8.31,219.44,10.47,42.86,11.32,Wednesday,13
Data Analytics Course,188.0,4834.0,213.58,15.0,4.0,0.02127659574468085,1590.0,2024-08-11,Tablet,online data analytics,0.02127659574468085,3.89,1.14,53.4,53.4,644.45,7.44,397.5,2.13,26.67,14.24,Sunday,11
Data Analytics Course,113.0,5065.0,212.37,11.0,5.0,0.04424778761061947,1111.0,2024-11-22,Desktop,online data analytics,0.04424778761061947,2.23,1.88,42.47,42.47,423.14,5.23,222.2,4.42,45.45,19.31,Friday,22
Data Analytics Course,0.0,3872.0,244.38,20.0,0.0,0.0,1041.0,2024-11-12,Tablet,data analytics online,4.0,0.0,0.0,0.0,0.0,325.98,4.26,0.0,,0.0,12.22,Tuesday,12
Data Analytics Course,176.0,5509.0,234.59,19.0,7.0,0.03977272727272727,1710.0,2024-03-11,Tablet,data analytics course,0.03977272727272727,3.19,1.33,33.51,33.51,628.93,7.29,244.29,3.98,36.84,12.35,Monday,11
Data Analytics Course,121.0,5610.0,214.96,23.0,8.0,0.06611570247933884,0.0,2024-11-25,Mobile,data analytics course,0.06611570247933884,2.16,1.78,26.87,26.87,-100.0,0.0,0.0,6.61,34.78,9.35,Monday,25
Data Analytics Course,104.0,5275.0,236.48,16.0,9.0,0.08653846153846154,1824.0,2024-11-01,Desktop,data analytics training,0.08653846153846154,1.97,2.27,26.28,26.28,671.31,7.71,202.67,8.65,56.25,14.78,Friday,1
Data Analytics Course,146.0,5939.0,242.9,11.0,8.0,0.0547945205479452,1833.0,2024-07-11,Desktop,data analytics training,0.0547945205479452,2.46,1.66,30.36,30.36,654.63,7.55,229.12,5.48,72.73,22.08,Thursday,11
Data Analytics Course,123.0,5131.0,0.0,19.0,5.0,0.04065040650406504,1307.0,2024-11-09,Mobile,learn data analytics,0.04065040650406504,2.4,0.0,0.0,0.0,0.0,0.0,261.4,4.07,26.32,0.0,Saturday,9
Data Analytics Course,90.0,5786.0,197.55,11.0,6.0,0.06666666666666667,1704.0,2024-11-16,Mobile,online data analytics,0.06666666666666667,1.56,2.2,32.93,32.93,762.57,8.63,284.0,6.67,54.55,17.96,Saturday,16
Data Analytics Course,171.0,4304.0,192.61,17.0,10.0,0.05847953216374269,1427.0,2024-11-26,Mobile,learn data analytics,0.05847953216374269,3.97,1.13,19.26,19.26,640.88,7.41,142.7,5.85,58.82,11.33,Tuesday,26
Data Analytics Course,94.0,5549.0,231.23,25.0,9.0,0.09574468085106383,1849.0,2024-12-11,Mobile,data analytics training,0.09574468085106383,1.69,2.46,25.69,25.69,699.64,8.0,205.44,9.57,36.0,9.25,Wednesday,11
Data Analytics Course,112.0,4271.0,196.07,27.0,6.0,0.05357142857142857,1209.0,2024-11-14,Desktop,data analytics online,0.05357142857142857,2.62,1.75,32.68,32.68,516.62,6.17,201.5,5.36,22.22,7.26,Thursday,14
Data Analytics Course,113.0,4418.0,191.55,27.0,10.0,0.08849557522123894,1634.0,2024-09-11,Mobile,data analytics course,0.08849557522123894,2.56,1.7,19.16,19.16,753.04,8.53,163.4,8.85,37.04,7.09,Wednesday,11
Data Analytics Course,145.0,3721.0,180.95,21.0,7.0,0.04827586206896552,1960.0,2024-11-29,Desktop,data analytics online,0.04827586206896552,3.9,1.25,25.85,25.85,983.17,10.83,280.0,4.83,33.33,8.62,Friday,29
Data Analytics Course,197.0,5783.0,204.46,23.0,6.0,0.030456852791878174,1729.0,2024-11-01,Tablet,data analytics training,0.030456852791878174,3.41,1.04,34.08,34.08,745.64,8.46,288.17,3.05,26.09,8.89,Friday,1
Data Analytics Course,109.0,4866.0,236.78,27.0,5.0,0.045871559633027525,1585.0,2024-11-15,Mobile,online data analytics,0.045871559633027525,2.24,2.17,47.36,47.36,569.4,6.69,317.0,4.59,18.52,8.77,Friday,15
Data Analytics Course,188.0,5857.0,222.98,20.0,4.0,0.02127659574468085,1303.0,2024-11-11,Desktop,data analytics training,0.02127659574468085,3.21,1.19,55.74,55.74,484.36,5.84,325.75,2.13,20.0,11.15,Monday,11
Data Analytics Course,142.0,5103.0,234.1,24.0,3.0,0.02112676056338028,1835.0,2024-08-11,Mobile,analytics for data,0.02112676056338028,2.78,1.65,78.03,78.03,683.85,7.84,611.67,2.11,12.5,9.75,Sunday,11
Data Analytics Course,168.0,4653.0,240.84,27.0,9.0,0.05357142857142857,1367.0,2024-11-24,Mobile,online data analytics,0.05357142857142857,3.61,1.43,26.76,26.76,467.6,5.68,151.89,5.36,33.33,8.92,Sunday,24
Data Analytics Course,110.0,3524.0,248.86,19.0,10.0,0.09090909090909091,1524.0,2024-11-21,Mobile,learn data analytics,0.09090909090909091,3.12,2.26,24.89,24.89,512.39,6.12,152.4,9.09,52.63,13.1,Thursday,21
Data Analytics Course,192.0,5938.0,182.84,26.0,5.0,0.026041666666666668,1080.0,2024-12-11,Mobile,analytics for data,0.026041666666666668,3.23,0.95,36.57,36.57,490.68,5.91,216.0,2.6,19.23,7.03,Wednesday,11
Data Analytics Course,101.0,3942.0,206.62,16.0,5.0,0.04950495049504951,1746.0,2024-11-24,Tablet,analytics for data,0.04950495049504951,2.56,2.05,41.32,41.32,745.03,8.45,349.2,4.95,31.25,12.91,Sunday,24
Data Analytics Course,157.0,3315.0,189.56,15.0,10.0,0.06369426751592357,1026.0,2024-11-25,Mobile,online data analytics,0.06369426751592357,4.74,1.21,18.96,18.96,441.25,5.41,102.6,6.37,66.67,12.64,Monday,25
Data Analytics Course,113.0,4945.0,187.66,15.0,10.0,0.08849557522123894,1564.0,2024-11-26,Tablet,learn data analytics,0.08849557522123894,2.29,1.66,18.77,18.77,733.42,8.33,156.4,8.85,66.67,12.51,Tuesday,26
Data Analytics Course,96.0,3166.0,196.15,29.0,7.0,0.07291666666666667,1902.0,2024-11-26,Desktop,learn data analytics,0.07291666666666667,3.03,2.04,28.02,28.02,869.67,9.7,271.71,7.29,24.14,6.76,Tuesday,26
Data Analytics Course,125.0,4223.0,183.68,15.0,6.0,0.048,1267.0,2024-05-11,Desktop,data analytics online,0.048,2.96,1.47,30.61,30.61,589.79,6.9,211.17,4.8,40.0,12.25,Saturday,11
Data Analytics Course,104.0,4798.0,210.1,18.0,3.0,0.028846153846153848,1340.0,2024-11-21,Desktop,analytics for data,0.028846153846153848,2.17,2.02,70.03,70.03,537.79,6.38,446.67,2.88,16.67,11.67,Thursday,21
Data Analytics Course,194.0,5655.0,208.58,13.0,6.0,0.030927835051546393,1692.0,2024-11-16,Mobile,data analytics training,0.030927835051546393,3.43,1.08,34.76,34.76,711.2,8.11,282.0,3.09,46.15,16.04,Saturday,16
Data Analytics Course,144.0,5140.0,219.48,19.0,8.0,0.05555555555555555,1054.0,2024-11-18,Desktop,data analytics online,0.05555555555555555,2.8,1.52,27.44,27.44,380.23,4.8,131.75,5.56,42.11,11.55,Monday,18
Data Analytics Course,179.0,3025.0,238.81,17.0,3.0,0.01675977653631285,0.0,2024-11-11,Mobile,data analytics online,0.01675977653631285,5.92,1.33,79.6,79.6,-100.0,0.0,0.0,1.68,17.65,14.05,Monday,11
Data Analytics Course,166.0,5223.0,189.76,18.0,7.0,0.04216867469879518,1219.0,2024-11-16,Tablet,data analytics course,0.04216867469879518,3.18,1.14,27.11,27.11,542.39,6.42,174.14,4.22,38.89,10.54,Saturday,16
Data Analytics Course,166.0,5089.0,0.0,26.0,7.0,0.04216867469879518,1946.0,2024-11-11,Tablet,analytics for data,0.04216867469879518,3.26,0.0,0.0,0.0,0.0,0.0,278.0,4.22,26.92,0.0,Monday,11
Data Analytics Course,118.0,5016.0,204.31,19.0,9.0,0.07627118644067797,1833.0,2024-08-11,Desktop,analytics for data,0.07627118644067797,2.35,1.73,22.7,22.7,797.17,8.97,203.67,7.63,47.37,10.75,Sunday,11
Data Analytics Course,185.0,3617.0,222.32,24.0,7.0,0.03783783783783784,1963.0,2024-11-23,Mobile,data analytics course,0.03783783783783784,5.11,1.2,31.76,31.76,782.96,8.83,280.43,3.78,29.17,9.26,Saturday,23
Data Analytics Course,116.0,3764.0,232.03,28.0,10.0,0.08620689655172414,1348.0,2024-11-20,Tablet,data analytics course,0.08620689655172414,3.08,2.0,23.2,23.2,480.96,5.81,134.8,8.62,35.71,8.29,Wednesday,20
Data Analytics Course,99.0,4489.0,183.73,15.0,6.0,0.06060606060606061,1264.0,2024-05-11,Desktop,online data analytics,0.06060606060606061,2.21,1.86,30.62,30.62,587.97,6.88,210.67,6.06,40.0,12.25,Saturday,11
Data Analytics Course,172.0,4441.0,221.18,14.0,8.0,0.046511627906976744,1771.0,2024-11-27,Mobile,analytics for data,0.046511627906976744,3.87,1.29,27.65,27.65,700.71,8.01,221.38,4.65,57.14,15.8,Wednesday,27
Data Analytics Course,138.0,5751.0,199.11,26.0,9.0,0.06521739130434782,1337.0,2024-10-11,Desktop,data analytics online,0.06521739130434782,2.4,1.44,22.12,22.12,571.49,6.71,148.56,6.52,34.62,7.66,Friday,11
Data Analytics Course,84.0,4036.0,234.22,23.0,10.0,0.11904761904761904,1287.0,2024-11-04,Desktop,learn data analytics,0.11904761904761904,2.08,2.79,23.42,23.42,449.48,5.49,128.7,11.9,43.48,10.18,Monday,4
Data Analytics Course,124.0,4942.0,240.59,18.0,3.0,0.024193548387096774,1922.0,2024-11-16,Desktop,learn data analytics,0.024193548387096774,2.51,1.94,80.2,80.2,698.87,7.99,640.67,2.42,16.67,13.37,Saturday,16
Data Analytics Course,122.0,4989.0,215.48,12.0,5.0,0.040983606557377046,1975.0,2024-06-11,Mobile,data analytics online,0.040983606557377046,2.45,1.77,43.1,43.1,816.56,9.17,395.0,4.1,41.67,17.96,Tuesday,11
Data Analytics Course,180.0,3006.0,228.14,22.0,7.0,0.03888888888888889,1556.0,2024-04-11,Tablet,learn data analytics,0.03888888888888889,5.99,1.27,32.59,32.59,582.04,6.82,222.29,3.89,31.82,10.37,Thursday,11
Data Analytics Course,133.0,3728.0,199.13,11.0,10.0,0.07518796992481203,0.0,2024-09-11,Desktop,data analytics online,0.07518796992481203,3.57,1.5,19.91,19.91,-100.0,0.0,0.0,7.52,90.91,18.1,Wednesday,11
Data Analytics Course,164.0,3734.0,225.39,27.0,8.0,0.04878048780487805,1728.0,2024-11-12,Tablet,learn data analytics,0.04878048780487805,4.39,1.37,28.17,28.17,666.67,7.67,216.0,4.88,29.63,8.35,Tuesday,12
Data Analytics Course,150.0,4621.0,246.3,15.0,6.0,0.04,1554.0,2024-09-11,Desktop,data analytics online,0.04,3.25,1.64,41.05,41.05,530.94,6.31,259.0,4.0,40.0,16.42,Wednesday,11
Data Analytics Course,97.0,3212.0,212.55,27.0,10.0,0.10309278350515463,1994.0,2024-11-23,Desktop,analytics for data,0.10309278350515463,3.02,2.19,21.26,21.26,838.13,9.38,199.4,10.31,37.04,7.87,Saturday,23
Data Analytics Course,128.0,4225.0,228.24,30.0,4.0,0.03125,1618.0,2024-08-11,Mobile,learn data analytics,0.03125,3.03,1.78,57.06,57.06,608.9,7.09,404.5,3.12,13.33,7.61,Sunday,11
Data Analytics Course,99.0,4779.0,233.78,26.0,10.0,0.10101010101010101,1086.0,2024-05-11,Desktop,online data analytics,0.10101010101010101,2.07,2.36,23.38,23.38,364.54,4.65,108.6,10.1,38.46,8.99,Saturday,11
Data Analytics Course,86.0,5352.0,234.05,11.0,5.0,0.05813953488372093,1364.0,2024-09-11,Tablet,online data analytics,0.05813953488372093,1.61,2.72,46.81,46.81,482.78,5.83,272.8,5.81,45.45,21.28,Wednesday,11
Data Analytics Course,118.0,5405.0,187.28,25.0,7.0,0.059322033898305086,1836.0,2024-05-11,Tablet,analytics for data,0.059322033898305086,2.18,1.59,26.75,26.75,880.35,9.8,262.29,5.93,28.0,7.49,Saturday,11
Data Analytics Course,127.0,5430.0,199.13,14.0,6.0,0.047244094488188976,1932.0,2024-11-25,Mobile,analytics for data,0.047244094488188976,2.34,1.57,33.19,33.19,870.22,9.7,322.0,4.72,42.86,14.22,Monday,25
Data Analytics Course,83.0,4808.0,241.35,20.0,7.0,0.08433734939759036,1038.0,2024-11-30,Mobile,learn data analytics,0.08433734939759036,1.73,2.91,34.48,34.48,330.08,4.3,148.29,8.43,35.0,12.07,Saturday,30
Data Analytics Course,149.0,3587.0,217.53,23.0,8.0,0.053691275167785234,0.0,2024-11-17,Mobile,data analytics online,0.053691275167785234,4.15,1.46,27.19,27.19,-100.0,0.0,0.0,5.37,34.78,9.46,Sunday,17
Data Analytics Course,168.0,4683.0,215.28,30.0,8.0,0.047619047619047616,1327.0,2024-11-28,Mobile,data analytics online,0.047619047619047616,3.59,1.28,26.91,26.91,516.41,6.16,165.88,4.76,26.67,7.18,Thursday,28
Data Analytics Course,112.0,5814.0,227.38,11.0,8.0,0.07142857142857142,1467.0,2024-03-11,Tablet,analytics for data,0.07142857142857142,1.93,2.03,28.42,28.42,545.18,6.45,183.38,7.14,72.73,20.67,Monday,11
Data Analytics Course,123.0,3292.0,233.2,28.0,6.0,0.04878048780487805,1174.0,2024-11-19,Desktop,data analytics training,0.04878048780487805,3.74,1.9,38.87,38.87,403.43,5.03,195.67,4.88,21.43,8.33,Tuesday,19
Data Analytics Course,174.0,4305.0,206.02,20.0,3.0,0.017241379310344827,1057.0,2024-11-23,Desktop,learn data analytics,0.017241379310344827,4.04,1.18,68.67,68.67,413.06,5.13,352.33,1.72,15.0,10.3,Saturday,23
Data Analytics Course,143.0,4368.0,0.0,27.0,7.0,0.04895104895104895,1199.0,2024-11-03,Tablet,analytics for data,0.04895104895104895,3.27,0.0,0.0,0.0,0.0,0.0,171.29,4.9,25.93,0.0,Sunday,3
Data Analytics Course,195.0,5935.0,209.68,23.0,9.0,0.046153846153846156,1966.0,2024-07-11,Tablet,online data analytics,0.046153846153846156,3.29,1.08,23.3,23.3,837.62,9.38,218.44,4.62,39.13,9.12,Thursday,11
Data Analytics Course,176.0,5847.0,241.04,13.0,6.0,0.03409090909090909,1194.0,2024-02-11,Desktop,online data analytics,0.03409090909090909,3.01,1.37,40.17,40.17,395.35,4.95,199.0,3.41,46.15,18.54,Sunday,11
Data Analytics Course,141.0,4851.0,227.39,28.0,5.0,0.03546099290780142,1821.0,2024-11-15,Desktop,analytics for data,0.03546099290780142,2.91,1.61,45.48,45.48,700.83,8.01,364.2,3.55,17.86,8.12,Friday,15
Data Analytics Course,108.0,4710.0,204.16,19.0,10.0,0.09259259259259259,1731.0,2024-11-20,Tablet,data analytics online,0.09259259259259259,2.29,1.89,20.42,20.42,747.86,8.48,173.1,9.26,52.63,10.75,Wednesday,20
Data Analytics Course,112.0,3345.0,0.0,11.0,6.0,0.05357142857142857,1859.0,2024-11-23,Tablet,analytics for data,0.05357142857142857,3.35,0.0,0.0,0.0,0.0,0.0,309.83,5.36,54.55,0.0,Saturday,23
Data Analytics Course,0.0,5903.0,184.41,23.0,0.0,0.0,1188.0,2024-11-20,Tablet,online data analytics,9.0,0.0,0.0,0.0,0.0,544.22,6.44,0.0,,0.0,8.02,Wednesday,20
Data Analytics Course,145.0,5004.0,216.45,22.0,5.0,0.034482758620689655,1496.0,2024-01-11,Tablet,data analytics online,0.034482758620689655,2.9,1.49,43.29,43.29,591.15,6.91,299.2,3.45,22.73,9.84,Thursday,11
Data Analytics Course,183.0,3947.0,197.3,15.0,8.0,0.04371584699453552,1645.0,2024-11-14,Desktop,data analytics training,0.04371584699453552,4.64,1.08,24.66,24.66,733.76,8.34,205.62,4.37,53.33,13.15,Thursday,14
Data Analytics Course,113.0,3690.0,229.42,20.0,5.0,0.04424778761061947,1915.0,2024-11-28,Tablet,learn data analytics,0.04424778761061947,3.06,2.03,45.88,45.88,734.71,8.35,383.0,4.42,25.0,11.47,Thursday,28
Data Analytics Course,101.0,5943.0,187.32,27.0,6.0,0.0594059405940594,1614.0,2024-11-15,Tablet,data analytics online,0.0594059405940594,1.7,1.85,31.22,31.22,761.63,8.62,269.0,5.94,22.22,6.94,Friday,15
Data Analytics Course,189.0,5357.0,222.5,24.0,3.0,0.015873015873015872,1839.0,2024-11-25,Tablet,data analytics course,0.015873015873015872,3.53,1.18,74.17,74.17,726.52,8.27,613.0,1.59,12.5,9.27,Monday,25
Data Analytics Course,154.0,3596.0,236.14,30.0,9.0,0.05844155844155844,1036.0,2024-06-11,Tablet,online data analytics,0.05844155844155844,4.28,1.53,26.24,26.24,338.72,4.39,115.11,5.84,30.0,7.87,Tuesday,11
Data Analytics Course,179.0,5162.0,246.76,16.0,5.0,0.027932960893854747,1052.0,2024-11-29,Desktop,online data analytics,0.027932960893854747,3.47,1.38,49.35,49.35,326.33,4.26,210.4,2.79,31.25,15.42,Friday,29
Data Analytics Course,148.0,3747.0,244.41,18.0,8.0,0.05405405405405406,1092.0,2024-11-17,Tablet,learn data analytics,0.05405405405405406,3.95,1.65,30.55,30.55,346.79,4.47,136.5,5.41,44.44,13.58,Sunday,17
Data Analytics Course,177.0,4822.0,197.03,26.0,9.0,0.05084745762711865,1909.0,2024-04-11,Mobile,online data analytics,0.05084745762711865,3.67,1.11,21.89,21.89,868.89,9.69,212.11,5.08,34.62,7.58,Thursday,11
Data Analytics Course,119.0,5800.0,221.36,11.0,8.0,0.06722689075630252,0.0,2024-11-29,Desktop,analytics for data,0.06722689075630252,2.05,1.86,27.67,27.67,-100.0,0.0,0.0,6.72,72.73,20.12,Friday,29
Data Analytics Course,89.0,3594.0,0.0,14.0,6.0,0.06741573033707865,1026.0,2024-11-15,Tablet,data analytics course,0.06741573033707865,2.48,0.0,0.0,0.0,0.0,0.0,171.0,6.74,42.86,0.0,Friday,15
Data Analytics Course,146.0,4765.0,230.22,23.0,5.0,0.03424657534246575,1944.0,2024-11-28,Tablet,analytics for data,0.03424657534246575,3.06,1.58,46.04,46.04,744.41,8.44,388.8,3.42,21.74,10.01,Thursday,28
Data Analytics Course,109.0,4128.0,183.65,12.0,5.0,0.045871559633027525,0.0,2024-11-30,Desktop,data analytics online,0.045871559633027525,2.64,1.68,36.73,36.73,-100.0,0.0,0.0,4.59,41.67,15.3,Saturday,30
Data Analytics Course,159.0,5127.0,197.16,21.0,4.0,0.025157232704402517,1867.0,2024-03-11,Tablet,learn data analytics,0.025157232704402517,3.1,1.24,49.29,49.29,846.95,9.47,466.75,2.52,19.05,9.39,Monday,11
Data Analytics Course,144.0,5674.0,235.36,12.0,3.0,0.020833333333333332,1505.0,2024-11-22,Desktop,analytics for data,0.020833333333333332,2.54,1.63,78.45,78.45,539.45,6.39,501.67,2.08,25.0,19.61,Friday,22
Data Analytics Course,122.0,3793.0,237.22,19.0,8.0,0.06557377049180328,1842.0,2024-11-20,Tablet,online data analytics,0.06557377049180328,3.22,1.94,29.65,29.65,676.49,7.76,230.25,6.56,42.11,12.49,Wednesday,20
Data Analytics Course,112.0,4315.0,235.33,28.0,9.0,0.08035714285714286,1116.0,2024-08-11,Mobile,data analytics course,0.08035714285714286,2.6,2.1,26.15,26.15,374.23,4.74,124.0,8.04,32.14,8.4,Sunday,11
Data Analytics Course,174.0,4704.0,192.32,21.0,10.0,0.05747126436781609,1501.0,2024-11-24,Mobile,learn data analytics,0.05747126436781609,3.7,1.11,19.23,19.23,680.47,7.8,150.1,5.75,47.62,9.16,Sunday,24
Data Analytics Course,168.0,3349.0,235.6,23.0,9.0,0.05357142857142857,1894.0,2024-09-11,Mobile,online data analytics,0.05357142857142857,5.02,1.4,26.18,26.18,703.9,8.04,210.44,5.36,39.13,10.24,Wednesday,11
Data Analytics Course,173.0,3501.0,223.9,28.0,10.0,0.057803468208092484,1179.0,2024-11-25,Mobile,data analytics course,0.057803468208092484,4.94,1.29,22.39,22.39,426.57,5.27,117.9,5.78,35.71,8.0,Monday,25
Data Analytics Course,91.0,91.0,203.52,0.0,0.0,0.0,1838.0,2024-11-20,Desktop,data analytics course,0.0989010989010989,100.0,2.24,0.0,0.0,803.11,9.03,0.0,0.0,,0.0,Wednesday,20
Data Analytics Course,140.0,5405.0,195.69,21.0,8.0,0.05714285714285714,1094.0,2024-11-21,Desktop,data analytics training,0.05714285714285714,2.59,1.4,24.46,24.46,459.05,5.59,136.75,5.71,38.1,9.32,Thursday,21
